127.0.0.1 - - [24/Apr/2024:09:14:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:14:52 +0900] "GET /controller/ HTTP/1.1" 200 9208
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:14:52 +0900] "GET /controller/resources/js/myfirstjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:14:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:14:52 +0900] "GET /controller/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:14:54 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:15:06 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:15:19 +0900] "GET /controller/ HTTP/1.1" 200 9208
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:15:19 +0900] "GET /controller/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:15:20 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:15:35 +0900] "GET /controller/ HTTP/1.1" 200 9208
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:15:35 +0900] "GET /controller/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:17:27 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:22:58 +0900] "GET /controller/ HTTP/1.1" 200 9236
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:22:58 +0900] "GET /controller/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:23:00 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:24:37 +0900] "GET /controller/ HTTP/1.1" 200 9359
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:24:37 +0900] "GET /controller/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:24:39 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:28:50 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:31:55 +0900] "GET /controller/ HTTP/1.1" 200 9583
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:31:55 +0900] "GET /controller/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:31:57 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:32:00 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:32:02 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:34:08 +0900] "GET /controller/ HTTP/1.1" 200 9583
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:34:08 +0900] "GET /controller/autocomplete?type=%EC%9E%91%EC%84%B1%EC%9E%90 HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:34:11 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:34:12 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:34:45 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:34:46 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:34:47 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:34:49 +0900] "GET /controller/artist HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:09:34:53 +0900] "GET /controller/artist HTTP/1.1" 200 447
